,gene_name
0,ENSG00000264874.1
1,ENSG00000280698.1
2,ENSG00000257470.1
3,ENSG00000207071.1
4,ENSG00000206819.1
5,ENSG00000252776.1
6,ENSG00000200220.1
7,ENSG00000224556.2
8,ENSG00000279132.1
9,ENSG00000277275.1
10,ENSG00000207754.2
11,ENSG00000200013.1
12,ENSG00000199929.1
13,ENSG00000222084.1
14,ENSG00000207558.2
15,ENSG00000276755.1
16,ENSG00000224279.2
17,ENSG00000231593.1
18,ENSG00000199020.2
19,ENSG00000206882.1
20,ENSG00000221644.1
21,ENSG00000206719.1
22,ENSG00000206795.1
23,ENSG00000252599.1
24,ENSG00000260108.1
25,ENSG00000266330.2
26,ENSG00000200224.2
27,ENSG00000202224.1
28,ENSG00000212626.1
29,ENSG00000226376.1
30,ENSG00000187082.2
31,ENSG00000201351.1
32,ENSG00000201894.1
