,gene_name,frec
0,THBS4,7
1,GNB2L1,7
2,ARHGAP22,6
3,TBX1,6
4,KCTD3,6
5,DNAH17,6
6,BMP8A,6
7,IGSF11,6
8,CRYGS,6
9,NXPE4,6
10,TGM3,6
11,UGT2B7,5
12,ALOX12B,5
13,ALOX5AP,5
14,NIN,5
15,SYNE4,5
16,EEF1B2,5
17,RIIAD1,5
18,EFCAB4B,5
19,EIF3E,5
20,XG,5
21,ZNF701,5
22,LRRIQ3,5
23,IGSF5,5
24,RBFOX1,5
25,MTX2,5
26,RP11-664D7.4,5
27,CNNM1,5
28,SIAH2,5
29,SCUBE1,5
30,CYC1,5
31,WNT7A,5
32,SOX10,5
33,DAPK2,5
34,KLK3,5
35,ARHGAP18,5
36,BMPR2,5
37,SH2D7,5
38,TBC1D1,5
39,HIST1H4H,5
40,RPL34,5
41,UFM1,5
42,IL17RD,5
43,TMEM108,5
44,MRS2,5
45,REN,5
46,SLC2A5,5
47,CCDC96,5
48,GLB1L2,5
49,C22orf15,5
50,RAB3C,5
51,MMP19,5
52,PUS3,5
53,SST,5
54,CECR2,5
55,VPS35,5
56,ZNF585B,5
57,SNTB1,5
58,CD276,5
59,ISG15,4
60,SERPINF1,4
61,IRX4,4
62,CCNB1IP1,4
63,COMP,4
64,COL17A1,4
65,HSPA14,4
66,SLITRK2,4
67,CCR2,4
68,NPPA,4
69,PAX8,4
70,SGIP1,4
71,CRELD1,4
72,CRABP2,4
73,PAMR1,4
74,NPDC1,4
75,NPM1,4
76,HOXA3,4
77,HOXA4,4
78,HOXB8,4
79,SELENBP1,4
80,HPSE2,4
81,SNRPB2,4
82,JPH2,4
83,ITPR1,4
84,HS6ST1,4
85,CRYBB2,4
86,CCDC18,4
87,SEMA5A,4
88,CCDC57,4
89,PAPD7,4
90,CNTNAP2,4
91,SLCO3A1,4
92,ZCCHC9,4
93,PCP4,4
94,NTMT1,4
95,CLCN4,4
96,IQCA1,4
97,SLC16A7,4
98,SLC18A2,4
99,OS9,4
100,ZDHHC24,4
101,NUDT2,4
102,ZDHHC21,4
103,OPN1SW,4
104,SLC34A2,4
105,CERS5,4
106,CHL1,4
107,SLC25A20,4
108,CLCNKB,4
109,SLC6A15,4
110,CLDN10,4
111,CDC25B,4
112,WDR62,4
113,SLC28A1,4
114,SLC7A9,4
115,IER3,4
116,CD96,4
117,SHROOM2,4
118,SLC6A8,4
119,ZDHHC5,4
120,SIAH3,4
121,P4HB,4
122,CDH22,4
123,CLVS1,4
124,IGF1,4
125,CDH26,4
126,CTDNEP1,4
127,RUFY3,4
128,SCAP,4
129,SCAND3,4
130,PVRL1,4
131,PWP2,4
132,FAM45A,4
133,POU6F1,4
134,GLUD1,4
135,VPS13D,4
136,FAM134C,4
137,GNB4,4
138,FAM102A,4
139,ZMYND8,4
140,PLXNA2,4
141,ETV5,4
142,GPR110,4
143,GPR133,4
144,ERP44,4
145,GPR176,4
146,ERC2,4
147,VKORC1L1,4
148,PLEKHG4B,4
149,PLEKHG2,4
150,EOGT,4
151,GGT2,4
152,PPP1CB,4
153,PTGES,4
154,PRSS16,4
155,FTH1,4
156,PROX1,4
157,PRPF38A,4
158,PRKG2,4
159,GAL3ST1,4
160,FNTB,4
161,FNDC1,4
162,PRRX2,4
163,VSIG1,4
164,FLNC,4
165,PTGER3,4
166,FKSG61,4
167,PSMB6,4
168,VWA2,4
169,FIG4,4
170,GBE1,4
171,GBP2,4
172,FGF9,4
173,GDF15,4
174,FERMT3,4
175,ENTHD2,4
176,GREB1,4
177,PLCD1,4
178,RPS6KA5,4
179,PDE4C,4
180,DDX52,4
181,DDX3Y,4
