"entrez_id","ensembl_id","symbol"
"1","ENSG00000121410","A1BG"
"2","ENSG00000175899","A2M"
"3","ENSG00000291190","A2MP1"
"9","ENSG00000171428","NAT1"
"10","ENSG00000156006","NAT2"
"12","ENSG00000196136","SERPINA3"
"13","ENSG00000114771","AADAC"
"14","ENSG00000127837","AAMP"
"15","ENSG00000129673","AANAT"
"16","ENSG00000090861","AARS1"
"18","ENSG00000183044","ABAT"
"19","ENSG00000165029","ABCA1"
"20","ENSG00000107331","ABCA2"
"21","ENSG00000167972","ABCA3"
"22","ENSG00000131269","ABCB7"
"23","ENSG00000204574","ABCF1"
"23","ENSG00000225989","ABCF1"
"23","ENSG00000236149","ABCF1"
"23","ENSG00000232169","ABCF1"
"23","ENSG00000236342","ABCF1"
"23","ENSG00000206490","ABCF1"
"23","ENSG00000231129","ABCF1"
"24","ENSG00000198691","ABCA4"
"25","ENSG00000097007","ABL1"
"26","ENSG00000002726","AOC1"
"27","ENSG00000143322","ABL2"
"28","ENSG00000175164","ABO"
"28","ENSG00000281879","ABO"
"29","ENSG00000159842","ABR"
"29","ENSG00000276016","ABR"
"29","ENSG00000278741","ABR"
"30","ENSG00000060971","ACAA1"
"31","ENSG00000278540","ACACA"
"31","ENSG00000275176","ACACA"
"32","ENSG00000076555","ACACB"
"33","ENSG00000115361","ACADL"
"34","ENSG00000117054","ACADM"
"35","ENSG00000122971","ACADS"
"36","ENSG00000196177","ACADSB"
"37","ENSG00000072778","ACADVL"
"38","ENSG00000075239","ACAT1"
"39","ENSG00000120437","ACAT2"
"40","ENSG00000108684","ASIC2"
"41","ENSG00000110881","ASIC1"
"43","ENSG00000087085","ACHE"
"47","ENSG00000131473","ACLY"
"48","ENSG00000122729","ACO1"
"49","ENSG00000100312","ACR"
"49","ENSG00000283539","ACR"
"50","ENSG00000100412","ACO2"
"51","ENSG00000161533","ACOX1"
"52","ENSG00000143727","ACP1"
"53","ENSG00000134575","ACP2"
"54","ENSG00000102575","ACP5"
"55","ENSG00000014257","ACP3"
"56","ENSG00000134940","ACRV1"
"58","ENSG00000143632","ACTA1"
"59","ENSG00000107796","ACTA2"
"60","ENSG00000075624","ACTB"
"70","ENSG00000159251","ACTC1"
"71","ENSG00000184009","ACTG1"
"72","ENSG00000163017","ACTG2"
"81","ENSG00000130402","ACTN4"
"81","ENSG00000282844","ACTN4"
"86","ENSG00000136518","ACTL6A"
"87","ENSG00000072110","ACTN1"
"88","ENSG00000077522","ACTN2"
"89","ENSG00000248746","ACTN3"
"90","ENSG00000115170","ACVR1"
"91","ENSG00000135503","ACVR1B"
"92","ENSG00000121989","ACVR2A"
"93","ENSG00000114739","ACVR2B"
"94","ENSG00000139567","ACVRL1"
"95","ENSG00000243989","ACY1"
"97","ENSG00000119640","ACYP1"
"98","ENSG00000170634","ACYP2"
"100","ENSG00000196839","ADA"
"101","ENSG00000151651","ADAM8"
"102","ENSG00000137845","ADAM10"
"103","ENSG00000160710","ADAR"
"104","ENSG00000197381","ADARB1"
"105","ENSG00000185736","ADARB2"
"107","ENSG00000164742","ADCY1"
"108","ENSG00000078295","ADCY2"
"109","ENSG00000138031","ADCY3"
"111","ENSG00000173175","ADCY5"
"112","ENSG00000174233","ADCY6"
"113","ENSG00000121281","ADCY7"
"114","ENSG00000155897","ADCY8"
"115","ENSG00000162104","ADCY9"
"116","ENSG00000141433","ADCYAP1"
"117","ENSG00000078549","ADCYAP1R1"
"118","ENSG00000087274","ADD1"
"119","ENSG00000075340","ADD2"
"120","ENSG00000148700","ADD3"
"123","ENSG00000147872","PLIN2"
"124","ENSG00000187758","ADH1A"
"125","ENSG00000196616","ADH1B"
"126","ENSG00000248144","ADH1C"
"127","ENSG00000198099","ADH4"
"128","ENSG00000197894","ADH5"
"130","ENSG00000172955","ADH6"
"131","ENSG00000196344","ADH7"
"132","ENSG00000156110","ADK"
"133","ENSG00000148926","ADM"
"134","ENSG00000163485","ADORA1"
"135","ENSG00000128271","ADORA2A"
"136","ENSG00000170425","ADORA2B"
"140","ENSG00000282608","ADORA3"
"141","ENSG00000144843","ADPRH"
"142","ENSG00000143799","PARP1"
"143","ENSG00000102699","PARP4"
"144","ENSG00000227105","PARP1P1"
"146","ENSG00000171873","ADRA1D"
"147","ENSG00000170214","ADRA1B"
"148","ENSG00000120907","ADRA1A"
"150","ENSG00000150594","ADRA2A"
"151","ENSG00000274286","ADRA2B"
"152","ENSG00000184160","ADRA2C"
"153","ENSG00000043591","ADRB1"
"154","ENSG00000169252","ADRB2"
"155","ENSG00000188778","ADRB3"
"156","ENSG00000173020","GRK2"
"157","ENSG00000100077","GRK3"
"158","ENSG00000239900","ADSL"
"159","ENSG00000035687","ADSS2"
"160","ENSG00000196961","AP2A1"
"161","ENSG00000183020","AP2A2"
"161","ENSG00000280759","AP2A2"
"161","ENSG00000281385","AP2A2"
"162","ENSG00000100280","AP1B1"
"163","ENSG00000006125","AP2B1"
"164","ENSG00000166747","AP1G1"
"165","ENSG00000106624","AEBP1"
"166","ENSG00000104964","TLE5"
"167","ENSG00000124812","CRISP1"
"172","ENSG00000223959","AFG3L1P"
"173","ENSG00000079557","AFM"
"174","ENSG00000081051","AFP"
"175","ENSG00000038002","AGA"
"176","ENSG00000157766","ACAN"
"177","ENSG00000204305","AGER"
"177","ENSG00000230514","AGER"
"177","ENSG00000229058","AGER"
"177","ENSG00000231268","AGER"
"177","ENSG00000237405","AGER"
"177","ENSG00000206320","AGER"
"177","ENSG00000234729","AGER"
"178","ENSG00000162688","AGL"
"181","ENSG00000159723","AGRP"
"182","ENSG00000101384","JAG1"
"183","ENSG00000135744","AGT"
"185","ENSG00000144891","AGTR1"
"186","ENSG00000180772","AGTR2"
"187","ENSG00000134817","APLNR"
"189","ENSG00000172482","AGXT"
"190","ENSG00000169297","NR0B1"
"191","ENSG00000101444","AHCY"
"196","ENSG00000106546","AHR"
"197","ENSG00000145192","AHSG"
"199","ENSG00000204472","AIF1"
"199","ENSG00000235588","AIF1"
"199","ENSG00000206428","AIF1"
"199","ENSG00000234836","AIF1"
"199","ENSG00000235985","AIF1"
"199","ENSG00000237727","AIF1"
"202","ENSG00000112297","CRYBG1"
"203","ENSG00000106992","AK1"
"204","ENSG00000004455","AK2"
