,gene_name,frec
0,AC024580.1,8
1,CKMT2,6
2,USH1G,6
3,ZBTB7A,6
4,PPP1R1C,6
5,UBE2Q1,6
6,MLX,6
7,CCDC154,6
8,SUCLG2,6
9,DUSP2,6
10,IL24,6
11,ABI1,5
12,ZNF558,5
13,RNPEP,5
14,TRIM4,5
15,ATP13A3,5
16,RBM33,5
17,TMEM108,5
18,HNRNPD,5
19,KLHL13,5
20,SERPINA5,5
21,PAQR7,5
22,HOXA10,5
23,PHLDA3,5
24,RPS15,5
25,ITLN2,5
26,MAP10,5
27,PLRG1,5
28,IFNLR1,5
29,PDLIM4,5
30,PRRG3,5
31,BANK1,5
32,L3MBTL4,5
33,PRODH,5
34,NCBP2,5
35,TCEAL1,5
36,HSP90B1,5
37,AC021860.1,5
38,DACH1,5
39,HPSE2,5
40,TEAD4,5
41,SPAG4,5
42,ARL2BP,5
43,REEP4,5
44,CBWD7,5
45,ADM5,5
46,BCL2L2-PABPN1,5
47,S1PR5,5
48,CDH8,5
49,HOXA9,5
50,ANKLE1,5
51,RP11-295P9.3,5
52,MXRA5,5
53,ATXN2L,5
54,PTGR2,5
55,KCNG1,5
56,C1QTNF1,4
57,FAM102B,4
58,FOXC1,4
59,AGT,4
60,MAP4K2,4
61,MT1G,4
62,ZEB1,4
63,PLEKHA6,4
64,ACOT13,4
65,EPB41L5,4
66,MAP4K3,4
67,GGACT,4
68,SHOX2,4
69,TRAF6,4
70,YIPF5,4
71,CAPN13,4
72,MTHFD2L,4
73,KDM5D,4
74,TTC39C,4
75,ACRBP,4
76,PSCA,4
77,UCN,4
78,KLF8,4
79,RBP1,4
80,KCTD13,4
81,TRAPPC9,4
82,RP11-762I7.5,4
83,NPNT,4
84,CISD3,4
85,IDUA,4
86,VHL,4
87,PACS1,4
88,CMTM6,4
89,PARS2,4
90,SLITRK2,4
91,MFSD9,4
92,SPATA6,4
93,KDR,4
94,RNF144B,4
95,GALNT11,4
96,SYNC,4
97,ZNF256,4
98,VDAC3,4
99,SPATA2L,4
100,GALNT14,4
101,EPHA4,4
102,CLDN16,4
103,UPF2,4
104,MFSD2B,4
105,H2AFJ,4
106,PIP5K1B,4
107,PTPN12,4
108,FAM114A1,4
109,FGF13,4
110,NTM,4
111,GLYATL2,4
112,AHCTF1,4
113,MOSPD3,4
114,VAV3,4
115,AGO4,4
116,KSR1,4
117,TTC31,4
118,HOXC8,4
119,RTN4RL2,4
120,ATP5G2,4
121,PFKFB2,4
122,NDUFA9,4
123,HYOU1,4
124,ADAM28,4
125,CD207,4
126,HYAL2,4
127,TERF2IP,4
128,KIAA0895L,4
129,C12orf55,4
130,PFDN4,4
131,ENAM,4
132,DBI,4
133,FAM150A,4
134,C10orf105,4
135,LMNB2,4
136,B3GALTL,4
137,TRMT12,4
138,TRMT13,4
139,TRMT2A,4
140,CLEC3B,4
141,MEP1B,4
142,GUCY1A3,4
143,GUF1,4
144,CCNI2,4
145,NAA16,4
146,HOXC9,4
147,RASGEF1A,4
148,PTGER1,4
149,SLC27A4,4
150,KAT7,4
151,ZNF292,4
152,SORCS2,4
153,GCK,4
154,GDPD2,4
155,ZNF425,4
156,RAPGEF4,4
157,MT1H,4
158,SYNGR1,4
159,ACTG2,4
160,SORCS1,4
161,TECPR1,4
162,ADH1B,4
163,CCDC124,4
164,PSMB2,4
165,TRIM17,4
166,MAP7D2,4
167,LSM2,4
168,HAP1,4
169,PTK2,4
170,SCAMP1,4
171,C12orf36,4
172,KLHDC8A,4
173,PLGLB1,4
174,MGARP,4
175,HDAC11,4
176,CLEC12A,4
177,FILIP1L,4
178,TMEM123,4
179,HUNK,4
180,ITGB5,4
181,FAM174A,4
182,SIVA1,4
183,CDHR1,4
184,SLITRK4,4
185,C10orf99,4
186,NRGN,4
187,SLC25A21,4
188,C4orf21,4
189,DDX55,4
190,SDS,4
191,TNFRSF17,4
192,MYCL,4
193,FBLN2,4
194,MADCAM1,4
195,CYP27A1,4
196,CDK11B,4
197,SFTA2,4
198,CA9,4
199,BBS7,4
200,MANSC4,4
201,THRSP,4
202,EWSR1,4
203,ARID3A,4
204,IL1R1,4
